subjectNumber,condition,outcome
8,1,8.4343
8,1,2.8679
8,1,9.7776
9,1,4.2206
9,1,1.7087
9,1,1.3134
9,1,3.2764
9,1,10.441
9,1,2.3321
9,1,3.2047
9,1,6.0331
9,1,1.9438
9,1,5.7727
9,1,7.0445
9,1,6.1007
9,1,7.9561
9,1,8.1302
9,1,7.4545
9,1,3.9986
9,1,3.264
9,1,3.7394
9,1,0.96735
9,1,4.7829
9,1,5.6039
9,1,9.6444
9,1,6.4105
9,1,7.7845
9,1,3.8842
9,1,2.1468
9,1,5.7771
9,1,4.9765
9,1,3.9077
9,1,2.3621
9,1,6.0908
9,1,1.5597
9,1,2.9258
9,1,13.946
9,1,5.1804
9,1,2.4519
9,1,2.854
9,1,6.0191
9,1,6.2297
9,1,9.4602
10,1,2.2427
10,1,18.08
10,1,3.4631
10,1,3.9031
10,1,8.98
10,1,5.426
10,1,4.8307
10,1,9.3067
10,1,3.3682
10,1,4.7888
10,1,5.8104
10,1,8.9091
10,1,7.3197
10,1,3.24
10,1,6.2617
10,1,5.9194
10,1,5.6454
10,1,5.5421
10,1,9.7023
10,1,4.2648
10,1,1.499
10,1,12.598
10,1,11.391
10,1,5.9709
10,1,2.6055
10,1,10.48
10,1,8.979
10,1,9.1144
10,1,6.9142
10,1,8.3701
10,1,3.7047
10,1,7.0344
10,1,2.6534
10,1,0.60342
10,1,9.2582
10,1,3.8025
10,1,10.592
10,1,4.872
10,1,9.012
10,1,3.2275
11,1,7.1394
11,1,6.6727
11,1,4.9031
11,1,6.4578
11,1,8.9759
11,1,18.818
11,1,10.686
11,1,8.6314
11,1,9.0267
11,1,4.7196
11,1,5.0765
11,1,8.5622
11,1,20.278
11,1,1.5529
11,1,7.9524
11,1,13.764
11,1,7.4931
11,1,6.3273
11,1,11.138
11,1,8.4607
11,1,8.4703
11,1,9.5064
11,1,8.3666
11,1,4.7563
11,1,8.8622
11,1,2.5126
11,1,11.438
11,1,7.6225
11,1,5.5471
11,1,8.0849
11,1,4.3881
11,1,11.353
11,1,4.1459
11,1,3.6657
11,1,5.4887
11,1,1.7672
11,1,13.437
11,1,4.9931
11,1,7.7996
11,1,3.2006
12,1,4.6012
12,1,7.9986
12,1,8.9763
12,1,13.793
12,1,14.684
12,1,12.285
12,1,4.2385
12,1,3.6553
12,1,17.064
12,1,15.327
12,1,10.044
12,1,13.33
12,1,5.591
12,1,10.559
12,1,15.112
12,1,2.7244
12,1,11.541
12,1,14.666
12,1,7.9539
12,1,13.96
12,1,12.963
12,1,12.63
12,1,11.049
12,1,6.4729
12,1,9.0548
12,1,5.7185
12,1,9.3199
12,1,7.9021
12,1,5.7642
12,1,12.041
12,1,8.8828
12,1,1.6064
12,1,2.4117
12,1,15.08
12,1,3.7973
12,1,6.204
12,1,7.672
12,1,6.3384
12,1,3.7996
12,1,3.2502
13,1,5.784
13,1,1.7488
13,1,6.7146
13,1,4.412
13,1,0.3491
13,1,3.6812
13,1,3.855
13,1,4.3232
13,1,2.4096
13,1,6.0017
13,1,4.3099
13,1,4.2182
13,1,4.2939
13,1,2.3054
13,1,3.1795
13,1,2.5516
13,1,3.6786
13,1,0.01
13,1,1.3181
13,1,6.2556
13,1,3.1068
13,1,1.3728
13,1,3.4268
13,1,3.4732
13,1,1.0167
13,1,4.2518
13,1,3.1231
13,1,8.2922
13,1,2.7758
13,1,3.6178
13,1,0.01
13,1,1.6242
13,1,7.99
13,1,1.8227
13,1,1.7441
13,1,2.6829
13,1,9.7688
13,1,2.8874
13,1,4.9091
13,1,3.3505
14,1,9.2119
14,1,3.1244
14,1,1.7766
14,1,7.0213
14,1,7.9763
14,1,5.0998
14,1,5.4095
14,1,9.842
14,1,6.1373
14,1,7.5665
14,1,7.5011
14,1,7.4055
14,1,7.8773
14,1,2.0151
14,1,8.4113
14,1,6.5323
14,1,5.515
14,1,8.7273
14,1,4.8047
14,1,4.3887
14,1,11.572
14,1,3.8311
14,1,3.1104
14,1,4.7892
14,1,9.5666
14,1,7.8658
14,1,3.3318
14,1,1.9608
14,1,10.939
14,1,4.0057
14,1,9.1105
14,1,14.084
14,1,8.7954
14,1,5.0911
14,1,9.5334
14,1,4.3778
14,1,2.6823
14,1,12.025
14,1,1.7078
14,1,4.509
15,1,9.0956
15,1,2.7772
15,1,2.5989
15,1,1.3274
15,1,4.9771
15,1,0.14369
15,1,0.97749
15,1,1.2007
15,1,4.1767
15,1,2.6659
15,1,0.17681
15,1,0.01
15,1,0.66123
15,1,3.2723
15,1,5.3475
15,1,2.4703
15,1,3.8619
15,1,2.9558
15,1,3.4509
15,1,1.6704
15,1,8.2328
15,1,1.3468
15,1,2.1579
15,1,4.1213
15,1,4.9978
15,1,5.6204
15,1,2.1393
15,1,1.9882
15,1,0.01
15,1,0.63642
15,1,0.54453
15,1,5.9383
15,1,4.8772
15,1,7.0638
15,1,3.5252
15,1,0.01
15,1,15.411
15,1,2.2778
15,1,5.0988
15,1,0.86087
16,1,7.0485
16,1,5.2311
16,1,8.1595
16,1,1.4979
16,1,3.0391
16,1,0.96448
16,1,5.5496
16,1,8.3006
16,1,9.6844
16,1,4.186
16,1,4.6101
16,1,13.28
16,1,6.4305
16,1,6.0667
16,1,5.2898
16,1,5.7693
16,1,3.2625
16,1,2.5936
16,1,13.528
16,1,6.8676
16,1,2.475
16,1,2.7238
16,1,9.7691
16,1,10.377
16,1,4.7571
16,1,6.5527
16,1,5.8733
16,1,5.77
16,1,16.48
16,1,6.0702
16,1,5.0609
16,1,4.6675
16,1,5.8238
16,1,1.6545
16,1,3.2514
16,1,7.8991
16,1,7.3809
16,1,3.7665
16,1,5.6033
16,1,11.74
17,1,3.2082
17,1,2.8394
17,1,0.28762
17,1,7.8918
17,1,10.986
17,1,2.0932
17,1,5.0913
17,1,1.5676
17,1,0.76881
17,1,7.8447
17,1,0.71466
17,1,0.96268
17,1,0.056621
17,1,1.0016
17,1,7.7753
17,1,1.6823
17,1,0.85773
17,1,4.5448
17,1,3.5753
17,1,2.734
17,1,5.8965
17,1,1.125
17,1,0.26059
17,1,3.1044
17,1,1.2746
17,1,1.0527
17,1,2.9815
17,1,0.01
17,1,5.588
17,1,0.53109
17,1,1.7164
17,1,2.3726
17,1,1.3902
17,1,2.3111
17,1,0.64114
17,1,1.8414
17,1,7.6579
17,1,3.495
17,1,4.7724
17,1,9.5346
18,1,8.8368
18,1,3.3084
18,1,12.588
18,1,9.2778
18,1,5.6996
18,1,2.1763
18,1,6.1062
18,1,6.5366
18,1,6.031
18,1,5.712
18,1,1.2805
18,1,16.223
18,1,3.7321
18,1,0.72884
18,1,6.4792
18,1,9.032
18,1,1.1671
18,1,17.331
18,1,5.5759
18,1,12.553
18,1,2.6576
18,1,7.4584
18,1,2.6287
18,1,3.2092
18,1,7.2526
18,1,8.3443
18,1,6.1283
18,1,3.0533
18,1,5.7409
18,1,12.415
18,1,5.4923
18,1,3.8393
18,1,10.513
18,1,3.2653
18,1,9.7454
18,1,3.3372
18,1,12.058
18,1,6.7923
18,1,3.9299
18,1,4.9458
19,1,10.666
19,1,5.7414
19,1,6.6268
19,1,3.933
19,1,8.6419
19,1,6.8898
19,1,14.181
19,1,6.6938
19,1,9.5384
19,1,17.507
19,1,11.936
19,1,9.5614
19,1,4.9611
19,1,10.538
19,1,14.204
19,1,0.84973
19,1,7.2147
19,1,10.159
19,1,9.9231
19,1,16.878
19,1,5.4229
19,1,6.9343
19,1,5.8672
19,1,7.2015
19,1,1.6604
19,1,7.6037
19,1,7.4444
19,1,18.09
19,1,9.7159
19,1,6.5185
19,1,3.9472
19,1,10.474
19,1,7.5595
19,1,11.3
19,1,5.4809
19,1,7.7215
19,1,9.8219
19,1,7.8289
19,1,6.2473
19,1,2.3538
20,1,5.0824
20,1,0.43237
20,1,6.5404
20,1,7.8274
20,1,10.823
20,1,3.706
20,1,5.1206
20,1,12.894
20,1,9.9948
20,1,5.1308
20,1,3.0361
20,1,7.6125
20,1,11.261
20,1,7.5014
20,1,14.771
20,1,0.37164
20,1,5.8391
20,1,4.0843
20,1,3.2658
20,1,5.2448
20,1,1.9564
20,1,9.8896
20,1,7.6252
20,1,1.9497
20,1,7.5727
20,1,5.1337
20,1,2.2639
20,1,8.2634
20,1,6.29
20,1,8.3727
20,1,9.3227
20,1,4.7122
20,1,3.8915
20,1,2.6722
20,1,8.1576
20,1,2.6617
20,1,8.4383
20,1,8.6655
20,1,5.462
20,1,3.9643
1,2,3.5867
1,2,4.6035
1,2,23.622
1,2,10.827
1,2,8.5869
1,2,12.318
1,2,5.1702
1,2,0.26043
1,2,4.907
1,2,16.389
1,2,11.411
1,2,12.929
1,2,4.1399
1,2,10.894
1,2,5.9004
1,2,13.241
1,2,12.189
1,2,11.987
1,2,7.7743
1,2,3.977
1,2,8.1586
1,2,10.741
1,2,14.873
1,2,8.2455
1,2,7.8592
1,2,9.9972
1,2,5.0117
1,2,10.429
1,2,16.16
1,2,13.243
1,2,5.3561
1,2,7.5558
1,2,8.3965
1,2,7.5646
1,2,6.9574
1,2,12.421
1,2,8.4375
1,2,18.106
1,2,13.529
1,2,12.68
2,2,9.0979
2,2,5.6878
2,2,5.8691
2,2,4.5645
2,2,17.701
2,2,7.3774
2,2,7.2628
2,2,6.2942
2,2,3.8922
2,2,8.1397
2,2,7.9242
